Id,Buyer User Id,Date and Time,Location,Location Id,Universe Id,Universe,Asset Id,Asset Name,Asset Type,Hold Status,Revenue,Price
IdrT8EcPq2CNXQ2CQ4YAIQ,4676336293,2023-08-03T15:47:13.360Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
pofGssdOFFQv7iUpBt2j5Q,4342378552,2023-08-03T15:46:49.720Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
HI+OgY1bKOf4eGQoKPQiYg,462106591,2023-08-03T15:46:46.507Z,Game,13541967921,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Null,Null,Null,Held,2.0,450.0
qQaWsGIcsE5iPUUKNQ1bOg,4705975202,2023-08-03T15:46:35.627Z,Game,13541967921,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],23779790,💰 1K 💰,Developer Product,Held,1.0,10.0
PqdHR9dklhWHwfFZ0pFzuw,1474960590,2023-08-03T15:46:27.603Z,Game,13541967921,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],26743504,Titan Armor (1 LIFE),Developer Product,Held,1.0,25.0
NfUxxcNiCgYOWTyETHXsIQ,1167373073,2023-08-03T15:46:16.217Z,Game,13541967921,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],26743504,Titan Armor (1 LIFE),Developer Product,Held,1.0,25.0
nXWgnGZ3WgEj7jDb7V5kPA,1408235704,2023-08-03T15:45:55.703Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
ezeH8KeMfcS2vH51+AkdOw,2428543093,2023-08-03T15:45:52.390Z,Game,13541967921,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],23779790,💰 1K 💰,Developer Product,Held,1.0,10.0
4jU10hNDzqPit9wJnwsQFw,2428661308,2023-08-03T15:45:19.397Z,Game,13541967921,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],23779790,💰 1K 💰,Developer Product,Held,1.0,10.0
Phwd6YqEEg/G3OwOPWE8NA,2729257254,2023-08-03T15:44:48.673Z,WebSite,Null,4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],4706794520,🏭 Ultimate Factory Tycoon [POWER ARMOR],Private Server Product,Released,0.0,0.0
